"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
8,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","39a5843acfc879fbd0009b5adf946fe7.svg","turk16",178,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","7ebb4244962ef3676588a2ab6f17b636.svg","turk16",179,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","7a969b2b983164f4c673a6ebeea3a3e6.svg","turk16",170,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","a6f9e383a802d273679663a1147b64ef.svg","turk16",171,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","1d8e54380ac456457ccfd381fa6cc123.svg","turk16",172,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","70d8c2a32d43782cfd854e79c92161b0.svg","turk16",173,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","5f25b736138f09435ec9da5ff338c4b8.svg","turk16",174,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","9d72a2c053f72f8596a5d45b57b6b527.svg","turk16",175,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","0c5732cdaa1a19a29c72d0c1b924de69.svg","turk16",176,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","3ce035ab7a39f52ba653f0100fbfe29c.svg","turk16",177,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","b6daee185cfac02160ec0903bdf759ef.svg","turk16",178,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
9,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.35","line-0.86715-cluster-0.82629","19, 5","d7ee67ea45582e4d2ed4f480deecc446.svg","turk16",179,"set-9-k-3-sdline-0.25-sdgroup-0.35",0
10,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","6d1d2a15cfb93e6e2d3bdf3a651d165f.svg","turk16",120,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","956074127087c316664bc35e152354f5.svg","turk16",121,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","1433316985c321ffa27513232194e443.svg","turk16",122,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","65d8718810987b4e84fd869044ae5a1b.svg","turk16",123,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","5563d08beea07923fd83b4a236f60166.svg","turk16",124,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","2d40a4d2c43f19b05f607bd671856ecb.svg","turk16",125,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","947867b2b75c347c142c3ed53aae9192.svg","turk16",126,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","87664b973fcce3957b9a0377fe34023b.svg","turk16",127,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","5f739758504e9d2092fe6566e83d4c35.svg","turk16",128,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
10,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.25","line-0.77210-cluster-0.91772","20, 13","0923fcec5b3ac175f75e6730f68f3672.svg","turk16",129,"set-10-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","a472cca162d18efaca4b134a6818b793.svg","turk16",120,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","8bd4e0aeb38228f04aeba9af2f0ced7d.svg","turk16",121,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","02af328af66f9d6d8cb3d2bdd68a2ba6.svg","turk16",122,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","c79fa5086db834fc6d9b8f82a729527d.svg","turk16",123,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","2729176a63e8c6820fa45a89f86615a8.svg","turk16",124,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","2f2ef43ec3304be3a8ec9cef77afacd4.svg","turk16",125,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","be5729ffc16c80ec092bec5cb25405ca.svg","turk16",126,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","da89df520f5e64ee5721dbafdeceaf2e.svg","turk16",127,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","bab90c79ca2e4cbb14224fc98fe70f71.svg","turk16",128,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
11,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.25","line-0.77731-cluster-0.91689","2, 15","d19b0c64b1d6be5379391afe15045163.svg","turk16",129,"set-11-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","bab10c93c36ff910a8a93da521aecb86.svg","turk16",120,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","e103010e223b765da7841ec07a9567e3.svg","turk16",121,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","7570cee5c0519afcf17d6a893bef6a4e.svg","turk16",122,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","314dccb48f10c68c5fa1ed1ea9269849.svg","turk16",123,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","5331dca2dcc3e53c027201c7c0a5de7d.svg","turk16",124,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
12,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.78129-cluster-0.91635","2, 11","28da552f8280dec814bd2fc2a390c34b.svg","turk16",125,"set-12-k-3-sdline-0.35-sdgroup-0.25",0
