"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
236,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","864201d7bb5eae98c4bac20d47d1189e.svg","turk16",165,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
237,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","69beef51b414efb629c52ff30b74fd0d.svg","turk16",166,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
238,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","a8bee2bb0a42bc48fcec7235a620970f.svg","turk16",167,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
239,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","ec81aacba485079e68fa29fd86c6f4ce.svg","turk16",168,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
240,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","2792df506baa153442ed9867495116c0.svg","turk16",169,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
241,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","018d436f2f1de10cc18504e492c1bf90.svg","turk16",190,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
242,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","fb4cb16b86501804f278afa8da83804c.svg","turk16",191,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
243,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","97bee4e77322a8290fe036cc897dee17.svg","turk16",192,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
244,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","83b00523540ad33d184c0785f9246e87.svg","turk16",193,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
245,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","8dfb10d4e9060aa0f9204b36b0b22029.svg","turk16",194,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
246,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","343fa99888a083e69254ceb9f3d7cbfe.svg","turk16",195,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
247,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","e87c96b29fe530c71959030cc8067974.svg","turk16",196,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
248,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","cfae3bce416993a79099dec0c0501c67.svg","turk16",197,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
249,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","e807a7a2f52b121f20ef6251e32601f4.svg","turk16",198,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
250,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.35","line-0.68479-cluster-0.86947","5, 1","13a2acfe96131d5f0c184291045f5f8f.svg","turk16",199,"set-25-k-3-sdline-0.45-sdgroup-0.35",0
251,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","b5d20180a847c738c6b08fe50effc49a.svg","turk16",190,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
252,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","42e36541b4fed771eaa608fed73a0da0.svg","turk16",191,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
